FORMATO DE REPORTE DE NOVEDADES SEMANALES Y ACTUALIZACIÓN DE CUPOS - 2026;;;;;;;;;;;
;;;;;;;;;;;
INSTITUCIÓN EDUCATIVA;TIPO DE COMPLEMENTO;;;;;;;;;;
I.E ANA GOMEZ DE SIERRA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;SIMAT 04 FEBRERO;;;
JARDIN;;;;21;;;;;;;
PREJARDIN;;;;15;;;;;;;
PREESCOLAR 1;;;17;;;;;;;;
PREESCOLAR 2;;;16;;;;;;;;
PRIMERO 1;;;29;;;;;;;;
PRIMERO 2;;;29;;;;;;;;
SEGUNDO 1;;;30;;;;;;;;
SEGUNDO 2;;;31;;;;;;;;
TERCERO 1;;;31;;;;;;;;
TERCERO 2;;;31;;;;;;;;
CUARTO 1;;;25;;;;;;;;
CUARTO 2;;;25;;;;;;;;
QUINTO 1;;;35;;;;;;;;
QUINTO 2;;;35;;;;;;;;
SEXTO 1;;;34;;;;;;;;
SEXTO 2;;;33;;;;;;;;
SÉPTIMO 1;;;25;;;;;;;;
SÉPTIMO 2;;;25;;;;;;;;
SÉPTIMO 3;;;25;;;;;;;;
OCTAVO 1;;;22;;;;;;;;
OCTAVO 2;;;24;;;;;;;;
OCTAVO  3;;;22;;;;;;;;
NOVENO 1;;;20;;;;;;;;
NOVENO 2;;;20;;;;;;;;
NOVENO 3;;;19;;;;;;;;
DÉCIMO 1;;;28;;;;;;;;
DÉCIMO 2;;;27;;;;;;;;
ONCE 1;;;21;;;;;;;;
ONCE 2;;;22;;;;;;;;
M.T. En AUXILIAR EN ADMINISTRACIÓN;;;;;;;;;;;
CIENCIA, TECNOLOGIA E INNOVACIÓN;;;;;;;;;;;
CENTRO DE INTERÉS SEMILLERO DE MATEMÁTICAS;;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;701;36;0;0;;737;;;
SEDE MARIA CAMILA RENDÓN;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR  ;;;17;;17;;;;;;
PRIMERO ;;;22;;22;;;;;;
SEGUNDO ;;;23;;23;;;;;;
TERCERO ;;;23;;23;;;;;;
CUARTO ;;;20;;20;;;;;;
QUINTO ;;;14;;14;;;;;;
SEXTO;;;26;;;;;;;;
SÉPTIMO;;;17;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;162;0;119;0;;167;;;
SEDE MAMPUESTO ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR;;;2;;;;;;;;
PRIMERO;;;2;;;;;;;;
SEGUNDO ;;;5;;;;;;;;
TERCER;;;1;;;;;;;;
CUARTO;;;7;;;;;;;;
QUINTO;;;1;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;18;0;0;0;;18;;;
